event_set,event_days,median_tmin_c,pct_ge_20c,pct_ge_25c,warm_season_definition
hot-night event days,181979,24.425079345703125,83.10904005407217,44.01332021826694,local-warm3
cool-anomaly event days,149110,16.500106811523438,28.412581315807124,3.7395211588759976,local-warm3
hot-night event days,239449,23.771392822265625,78.80926627382031,38.16386788000785,local-warm4
cool-anomaly event days,198388,15.545654296875,25.05091033731879,3.054116176381636,local-warm4
hot-night event days,351512,22.462387084960938,67.00795420924463,29.313650743075627,local-warm6
cool-anomaly event days,306103,13.232513427734375,19.01190122279102,2.101580187061218,local-warm6
