mechanism,edge_set,edge_pairs_used,n_runs,n_locked_runs,locked_run_fraction,raw_locked_mean,raw_nonlocked_mean,raw_mean_delta
Coherent,all_edges,44945,40529,27190,0.6708776431690888,1.2220135927200317,1.2090280055999756,0.012985587120056152
Coherent,long_range_gt2500km,936,40529,2060,0.05082780231439216,1.1666001081466675,1.2204782962799072,-0.053878188133239746
Dipole,all_edges,10083,40529,4594,0.1133509338991833,1.3143342733383179,1.2053910493850708,0.10894322395324707
Dipole,long_range_gt2500km,8634,40529,4039,0.09965703570283008,1.3129656314849854,1.2071994543075562,0.1057661771774292
