n_pairs,mean_delta,median_delta,boot95_mean_lo,boot95_mean_hi,wilcoxon_p_greater,dur_bin
3011,0.01772014534936637,0.006043434143066406,-0.016354985163481835,0.05372808717960774,0.1954476987115582,2
1711,-0.006862158340051953,-0.0068416595458984375,-0.04539331559577335,0.03048785704921241,0.6835498591381333,3-4
582,0.061786051557953005,0.041583120822906494,-0.013014284785696115,0.13424294341573187,0.03234384806998068,5+
