mechanism,edge_set,edge_pairs_used,n_runs,n_locked_runs,locked_run_fraction,raw_locked_mean,raw_nonlocked_mean,raw_mean_delta
Coherent,all_edges,124911,40529,36828,0.9086826716672013,1.2233481407165527,1.161932110786438,0.061416029930114746
Coherent,long_range_gt2500km,13535,40529,17839,0.4401539638283698,1.2323740720748901,1.2062342166900635,0.02613985538482666
Dipole,all_edges,40450,40529,20927,0.5163463199190703,1.277869701385498,1.1535453796386719,0.12432432174682617
Dipole,long_range_gt2500km,35699,40529,18983,0.46838066569616815,1.2871220111846924,1.1566109657287598,0.13051104545593262
