event_set,duration_days,event_days,median_tmin_c,pct_ge_20c,pct_ge_25c
hot-night event days,1,392614,24.049041748046875,80.85269501342285,40.022006347201064
cool-anomaly event days,1,350046,16.219100952148438,26.31768396153648,3.2524296806705406
hot-night event days,2,181979,24.425079345703125,83.10904005407217,44.01332021826694
cool-anomaly event days,2,149110,16.500106811523438,28.412581315807124,3.7395211588759976
hot-night event days,3,97266,24.54559326171875,83.9933789813501,45.38379289782658
cool-anomaly event days,3,69312,17.296920776367188,33.40402816251154,4.834660664819944
