n_pairs,mean_delta,median_delta,boot95_mean_lo,boot95_mean_hi,wilcoxon_p_greater,mechanism,edge_set,k_days,min_duration,wilcoxon_p_two_sided
1510,0.2321848074628028,0.15380859375,0.1892262490651268,0.2765894591298249,1.0239180471204451e-23,Coherent,all_edges,3,2,2.0478360942408901e-23
2085,0.0203689402616995,0.0498046875,-0.0161609466624506,0.0599013187889036,0.0126285553596313,Coherent,long_range_gt2500km,3,2,0.0252571107192626
3349,0.0293555020847741,0.0249798893928527,-0.0035884213442509,0.0606960580012657,0.0568932589764569,Dipole,all_edges,3,2,0.1137865179529139
2998,0.0424386333025559,0.0436393320560455,0.0101718162799041,0.0742524499703618,0.0052855929084433,Dipole,long_range_gt2500km,3,2,0.0105711858168866
