mechanism,years,top_bundle_files,total_bundle_days,mean_annual_bundle_days,theil_sen_slope_per_year,theil_sen_intercept,theil_sen_95_low,theil_sen_95_high,kendall_tau,kendall_p
Coherent,2000-2024,dates_coherent_local_warm3_bundle_1_N.America_and_Europe.csv; dates_coherent_local_warm3_bundle_2_N.America_and_E.Asia.csv; dates_coherent_local_warm3_bundle_3_Europe_and_E.Asia.csv,281,11.24,0.8,-1605.6000000000001,0.36363636363636365,1.4285714285714286,0.6045109225096396,4.170804515831381e-05
Dipole,2000-2024,"dates_dipole_local_warm3_bundle_1_EastAsia_to_NorthAmerica.csv; dates_dipole_local_warm3_bundle_2_EastAsia_to_EastAsia.csv; dates_dipole_local_warm3_bundle_3_(-48,43)_to_NorthAmerica.csv",106,4.24,0.2638888888888889,-528.9444444444445,0.1,0.5882352941176471,0.5237229365663817,0.0005215059932002158
