mechanism,rank,date_file,n_event_windows,target_lat,lon_a_0_360,lon_b_0_360,z500_wave_a_m,z500_wave_b_m,abs_delta_z_m,same_sign,pattern_drift_deg_per_day,diagnostic_class_by_delta_z
Coherent,1,dates_coherent_local_warm3_bundle_1_N.America_and_Europe.csv,114,41.713401794433594,244.09689331054688,2.4985318183898926,31.31439208984375,18.222326278686523,13.092065811157227,True,0.16666666666666666,coherent-like
Coherent,2,dates_coherent_local_warm3_bundle_2_N.America_and_E.Asia.csv,101,29.91771125793457,268.21839141845703,119.7548370361328,9.521723747253418,-10.483386039733887,20.005109786987305,False,0.0,coherent-like
Coherent,3,dates_coherent_local_warm3_bundle_3_Europe_and_E.Asia.csv,66,31.16566276550293,28.408885955810547,114.22439575195312,-21.395212173461914,-2.00227952003479,19.392932653427124,True,0.0,coherent-like
Dipole,1,dates_dipole_local_warm3_bundle_1_EastAsia_to_NorthAmerica.csv,46,35.79525566101074,94.69619750976562,263.51609802246094,10.53630542755127,12.59899616241455,2.0626907348632812,True,-0.16666666666666666,coherent-like
Dipole,2,dates_dipole_local_warm3_bundle_2_EastAsia_to_EastAsia.csv,26,31.67588901519775,64.47777557373047,105.1772232055664,8.366199493408203,12.8865327835083,4.520333290100098,True,-0.16666666666666666,coherent-like
Dipole,3,"dates_dipole_local_warm3_bundle_3_(-48,43)_to_NorthAmerica.csv",34,41.84725379943848,312.0305366516113,253.80322265625,18.09881591796875,21.025392532348633,2.926576614379883,True,-0.3333333333333333,coherent-like
