n_pairs,mean_delta,median_delta,boot95_mean_lo,boot95_mean_hi,wilcoxon_p_greater,dur_bin
930,0.20476742764954925,0.14233160018920898,0.1485341283198326,0.26525800475510214,5.626692137423791e-12,2
375,0.2985283712943395,0.1735408902168274,0.21358412557070455,0.3835600607318183,4.072535320617349e-12,3-4
205,0.2352059137530443,0.1729048490524292,0.10175139234923734,0.3608418884073816,0.0001590785030084125,5+
