mechanism,edge_set,edge_pairs_used,n_runs,n_locked_runs,locked_run_fraction,raw_locked_mean,raw_nonlocked_mean,raw_mean_delta
Coherent,all_edges,189400,40529,37077,0.9148264205877273,1.2219187021255493,1.1728564500808716,0.049062252044677734
Coherent,long_range_gt2500km,7129,40529,11451,0.2825384292728663,1.1926443576812744,1.227622389793396,-0.03497803211212158
Dipole,all_edges,18639,40529,10815,0.26684596215055884,1.3199397325515747,1.1805419921875,0.1393977403640747
Dipole,long_range_gt2500km,15430,40529,8913,0.2199166029262997,1.330897569656372,1.1858389377593994,0.14505863189697266
