n_pairs,mean_delta,median_delta,boot95_mean_lo,boot95_mean_hi,wilcoxon_p_greater,dur_bin
2639,-0.002648890041049207,0.015870094299316406,-0.03647010039090658,0.03459876176307215,0.4448446806781051,2
1606,0.004462573371113163,0.027044296264648438,-0.03226727864984539,0.04061840065449922,0.24198101739809857,3-4
495,0.07285486161708832,0.06957006454467773,0.0031245227865498502,0.14242608322188105,0.023402633943846233,5+
