mechanism,edge_set,edge_pairs_used,n_runs,n_locked_runs,locked_run_fraction,raw_locked_mean,raw_nonlocked_mean,raw_mean_delta
Coherent,all_edges,114037,40529,34170,0.843100002467369,1.2147189378738403,1.233972430229187,-0.01925349235534668
Coherent,long_range_gt2500km,3684,40529,6373,0.15724542919884527,1.168879747390747,1.2268563508987427,-0.057976603507995605
Dipole,all_edges,20480,40529,9598,0.23681808088035727,1.316239595413208,1.187174916267395,0.129064679145813
Dipole,long_range_gt2500km,17781,40529,8418,0.20770312615657924,1.3189997673034668,1.1911941766738892,0.12780559062957764
