n_pairs,mean_delta,median_delta,boot95_mean_lo,boot95_mean_hi,wilcoxon_p_greater,dur_bin
847,0.21628371433496757,0.16260910034179688,0.16152780168594127,0.28141069821793463,7.068277893623321e-13,2
359,0.24578668774834583,0.11509925127029419,0.16433085701778571,0.32166657010897537,8.360543501680621e-08,3-4
190,0.276539493705097,0.21126528084278107,0.13891096559010055,0.42614604467231976,5.124080699343867e-05,5+
