scenario,mechanism,rank,final_nodes_a,final_nodes_b,nodes_used_a,nodes_used_b,date_count,first_date,last_date,median_active_fraction_a_on_sync_dates,median_active_fraction_b_on_sync_dates
stable_urban_core_fixed_denominator,Coherent,2,115,155,63,55,106,2000-07-21,2023-09-30,0.8571428571428571,0.7454545454545455
stable_urban_core_fixed_denominator,Coherent,3,189,136,68,49,77,2002-07-13,2023-08-20,0.8088235294117647,0.7346938775510204
stable_urban_core_fixed_denominator,Dipole,1,686,440,60,294,61,2001-07-03,2023-07-10,0.9,0.9829931972789115
stable_urban_core_fixed_denominator,Dipole,2,778,414,114,129,47,2003-06-11,2022-08-30,0.9035087719298246,0.8604651162790697
stable_urban_core_fixed_denominator,Dipole,3,562,321,181,199,39,2002-07-03,2024-08-26,0.994475138121547,0.9447236180904522
stable_urban_core_active_denominator,Coherent,1,117,139,83,97,197,2000-09-23,2024-09-29,0.9759036144578314,0.6082474226804123
stable_urban_core_active_denominator,Coherent,2,115,155,63,55,246,2000-07-21,2023-12-31,0.6825396825396826,0.6545454545454545
stable_urban_core_active_denominator,Coherent,3,189,136,68,49,248,2002-05-10,2023-12-25,0.7941176470588235,0.7346938775510204
stable_urban_core_active_denominator,Dipole,1,686,440,60,294,122,2000-07-25,2023-09-05,0.9,0.9829931972789115
stable_urban_core_active_denominator,Dipole,2,778,414,114,129,140,2000-05-02,2023-09-19,0.14912280701754385,0.13953488372093023
stable_urban_core_active_denominator,Dipole,3,562,321,181,199,69,2000-09-01,2024-08-26,0.994475138121547,0.9447236180904522
