mechanism,rank,bundle,node_count_unique,node_count_side_sum,population_2020,event_nights,static_2020_person_nights,timevarying_person_nights,timevarying_minus_static_pct
Coherent,1,C1 North America-Europe,253,256,1740579.095531905,114,198426016.8906372,198426016.8906372,0.0
Coherent,2,C2 North America-East Asia,270,270,2610754.643389069,101,263686218.98229596,263686218.98229596,0.0
Coherent,3,C3 Europe-East Asia,323,325,3333122.017277412,66,219986053.1403092,219986053.1403092,0.0
Dipole,1,D1 East Asia-North America,1126,1126,6993375.5993163185,46,321695277.56855065,321695277.56855065,0.0
Dipole,2,D2 West/Central Asia-East Asia,1068,1192,8480732.271478945,26,220499039.05845258,220499039.05845258,0.0
Dipole,3,D3 North Atlantic-North America,732,883,2696944.4090048117,34,91696109.9061636,91696109.9061636,0.0
