mechanism,edge_set,edge_pairs_used,n_runs,n_locked_runs,locked_run_fraction,raw_locked_mean,raw_nonlocked_mean,raw_mean_delta
Coherent,all_edges,22076,40529,19921,0.49152458733252735,1.2290736436843872,1.206783652305603,0.02228999137878418
Coherent,long_range_gt2500km,22,40529,55,0.001357052974413383,1.366296410560608,1.217537760734558,0.1487586498260498
Dipole,all_edges,519,40529,101,0.002492042734831849,1.3469582796096802,1.2174170017242432,0.129541277885437
Dipole,long_range_gt2500km,484,40529,84,0.002072589997285894,1.3535611629486084,1.2174577713012695,0.13610339164733887
